index,x,y,z,yaw,pitch,roll,latitude,longitude,altitude,segment_distance_m,distance_traveled_m
123,-724.033813476563,-736.958618164063,0,338.728841781616,0,180,39.6819265918645,-75.7565062197982,0,0.198443503176378,24.3926457495568
124,-723.848937988281,-737.030639648438,0,338.685199737549,0,180,39.6819259448224,-75.7565040616357,0,0.198408770922076,24.5910545204789
125,-723.664001464844,-737.102905273438,0,338.641725540161,0,180,39.6819252955871,-75.7565019027608,0,0.198554371036725,24.7896088915156
126,-723.479248046875,-737.175231933594,0,338.598415374756,0,180,39.6819246458033,-75.7564997460233,0,0.198406076571493,24.9880149680871
127,-723.294494628906,-737.247741699219,0,338.555269241333,0,180,39.6819239943745,-75.7564975892858,0,0.19847289881021,25.1864878668973
128,-723.109802246094,-737.320373535156,0,338.51229095459,0,180,39.681923341849,-75.7564954332609,0,0.198460726242274,25.3849485931396
129,-722.925170898438,-737.393127441406,0,338.469476699829,0,180,39.6819226882269,-75.7564932779484,0,0.198448646788021,25.5833972399276
130,-722.740600585938,-737.466064453125,0,338.426830291748,0,180,39.6819220329597,-75.7564911233485,0,0.198459083780029,25.7818563237076
131,-722.556091308594,-737.539123535156,0,338.384347915649,0,180,39.6819213765958,-75.756488969461,0,0.19844722949228,25.9803035531999
132,-722.37158203125,-737.6123046875,0,338.342031478882,0,180,39.6819207191352,-75.7564868155735,0,0.198492202578016,26.1787957557779
133,-722.187194824219,-737.685607910156,0,338.299882888794,0,180,39.681920060578,-75.7564846631111,0,0.198423800408562,26.3772195561865
134,-722.002807617188,-737.759033203125,0,338.25789642334,0,180,39.681919400924,-75.7564825106486,0,0.198468928964541,26.5756884851511
135,-721.818542480469,-737.832702636719,0,338.216079711914,0,180,39.6819187390767,-75.7564803596111,0,0.198446028068096,26.7741345132191
136,-721.634338378906,-737.906433105469,0,338.174427032471,0,180,39.6819180766811,-75.7564782092862,0,0.198412028502665,26.9725465417218
137,-721.450073242188,-737.980224609375,0,338.13293838501,0,180,39.6819174137371,-75.7564760582487,0,0.198491376786816,27.1710379185086
138,-721.265991210938,-738.05419921875,0,338.091617584229,0,180,39.681916749148,-75.7564739093487,0,0.198389609257415,27.369427527766
139,-721.081909179688,-738.128356933594,0,338.050462722778,0,180,39.681916082914,-75.7564717604488,0,0.198457957512348,27.5678854852784
140,-720.897827148437,-738.20263671875,0,338.009473800659,0,180,39.6819154155832,-75.7564696115488,0,0.198503603775812,27.7663890890542
